"id","name","fileName","size","datasetUrl","downloadUrl"
"025edc1e-3836-4984-947b-166376b727ef","澳門區域旅遊數據 - 按來源地及統計分區的旅客平均逗留時間☯澳门区域旅游数据 - 按来源地及统计分区的旅客平均逗留时间☯Dados Turísticos Regionais de Macau - Tempo médio de permanência por local de origem e zonas estatísticas☯Macao District Tourism Data - Average Length of Stay by Place of Origin and Statistical District","dst_visitor_04_stats.xlsx","57248","https://data.gov.mo/Detail?id=025edc1e-3836-4984-947b-166376b727ef","https://api.data.gov.mo/document/download/025edc1e-3836-4984-947b-166376b727ef?fileId=1717&isNeedFile=1&lang=TC"
"0356041c-3315-4853-b6c2-b21b3767b7c2","交通意外數目☯交通意外數目☯Total de acidentes de viação☯Total number of traffic accidents","交通意外數目.xlsx","7157","https://data.gov.mo/Detail?id=0356041c-3315-4853-b6c2-b21b3767b7c2","https://api.data.gov.mo/document/download/0356041c-3315-4853-b6c2-b21b3767b7c2?fileId=1442&isNeedFile=1&lang=TC"
"0356d3f0-a641-45e9-9431-7ff8479e8431","暫停營業之酒店/經濟型住宿場所/公寓式酒店列表☯暂停营业之酒店/经济型住宿场所/公寓式酒店列表☯Suspensão da actividade - hotéis/alojamento de baixo custo/hotéis-apartamentos☯Suspension of Business - hotel/low-cost accommodation/apartment hotel","dst_hotelTempClosed.xml","31","https://data.gov.mo/Detail?id=0356d3f0-a641-45e9-9431-7ff8479e8431","https://api.data.gov.mo/document/download/0356d3f0-a641-45e9-9431-7ff8479e8431?fileId=1734&isNeedFile=1&lang=TC"
"08767a5c-3550-481d-b0d7-e72c55098f63","公共巴士站總數☯公共巴士站总数☯Total de paragens de autocarros públicos☯Total number of public bus stops","Total_number_of public_bus_stops.xlsx","9072","https://data.gov.mo/Detail?id=08767a5c-3550-481d-b0d7-e72c55098f63","https://api.data.gov.mo/document/download/08767a5c-3550-481d-b0d7-e72c55098f63?fileId=992&isNeedFile=1&lang=TC"
"0c513502-ca98-489e-812d-4e5266f82ccf","交通意外受傷事故(人數)☯交通意外受傷事故(人數)☯Número de feridos em acidentes de viação (pessoas)☯Traffic injuries (no. of persons)","交通意外受傷事故(人數).xlsx","8166","https://data.gov.mo/Detail?id=0c513502-ca98-489e-812d-4e5266f82ccf","https://api.data.gov.mo/document/download/0c513502-ca98-489e-812d-4e5266f82ccf?fileId=1445&isNeedFile=1&lang=TC"
"12564cf3-6534-4730-9e61-4c9d3e322baa","澳門區域旅遊數據 - 按中國内地主要省份及統計分區的旅客平均逗留時間☯澳门区域旅游数据 - 按中国内地主要省份及统计分区的旅客平均逗留时间☯Dados Turísticos Regionais de Macau - Tempo médio de permanência por principais províncias do Interior da China e zonas estatísticas☯Macao District Tourism Data - Average Length of Stay by Main Provinces in Mainland China and Statistical District","dst_visitor_05_stats.xlsx","31","https://data.gov.mo/Detail?id=12564cf3-6534-4730-9e61-4c9d3e322baa","https://api.data.gov.mo/document/download/12564cf3-6534-4730-9e61-4c9d3e322baa?fileId=1718&isNeedFile=1&lang=TC"
"18ee53ce-f8b1-4f8a-a20a-9b1fb63d00cd","臨時交通許可審批數量☯临时交通许可审批数量☯N.º de casos com trânsito condicionado autorizados☯N.º de casos com trânsito condicionado autorizados","Number_of_temporary_traffic_permit_approvals.xlsx","8823","https://data.gov.mo/Detail?id=18ee53ce-f8b1-4f8a-a20a-9b1fb63d00cd","https://api.data.gov.mo/document/download/18ee53ce-f8b1-4f8a-a20a-9b1fb63d00cd?fileId=2052&isNeedFile=1&lang=TC"
"1d20b79b-cdc7-4e57-8976-f04452a87878","移走送予交通事務局處置車輛☯移走送予交通事务局处置车辆☯Veículo a cancelar e reverte para o DSAT☯Veículo a cancelar e reverte para o DSAT","Removal_of_the_vehicle_to_DSAT.xlsx","15386","https://data.gov.mo/Detail?id=1d20b79b-cdc7-4e57-8976-f04452a87878","https://api.data.gov.mo/document/download/1d20b79b-cdc7-4e57-8976-f04452a87878?fileId=1435&isNeedFile=1&lang=TC"
"2fcafadb-1888-43d6-8fe9-e6d3346aef10","澳門口岸之無障礙旅遊設施列表☯澳门口岸之无障碍旅游设施列表☯Guia de Turismo Livre de Barreiras - Postos fronteiriços☯Barrier-Free Access Guide - Macao Border Checkpoints","dst_barrierfree_borders.xml","2481","https://data.gov.mo/Detail?id=2fcafadb-1888-43d6-8fe9-e6d3346aef10","https://api.data.gov.mo/document/download/2fcafadb-1888-43d6-8fe9-e6d3346aef10?fileId=1933&isNeedFile=1&lang=TC"
"34316b06-b63d-4c72-be39-99fa19dcc819","違反道路交通法/規章☯違反道路交通法/規章☯Infracções relativas à Lei do Trânsito Rodoviário e ao Regulamento do  Código da Estrada ☯Violating Road Traffic Law / Regulation","違反道路交通法規章數目.xlsx","6599","https://data.gov.mo/Detail?id=34316b06-b63d-4c72-be39-99fa19dcc819","https://api.data.gov.mo/document/download/34316b06-b63d-4c72-be39-99fa19dcc819?fileId=1477&isNeedFile=1&lang=TC"
"3582b963-31c2-4d5b-8a08-1dc198fb125e","巴士數量 ☯巴士数量 ☯Números de autocarros ☯Number of buses","Number_of_buses.xlsx","9257","https://data.gov.mo/Detail?id=3582b963-31c2-4d5b-8a08-1dc198fb125e","https://api.data.gov.mo/document/download/3582b963-31c2-4d5b-8a08-1dc198fb125e?fileId=997&isNeedFile=1&lang=TC"
"3815271b-0ce1-472d-9edf-2a7fb0d7c9c1","澳門區域旅遊數據 - 按中國内地主要省份及統計分區的旅客到訪人次 ☯澳门区域旅游数据 - 按中国内地主要省份及统计分区的旅客到访人次☯Dados Turísticos Regionais de Macau - Chegada de visitantes por principais províncias do Interior da China e zonas estatísticas☯Macao District Tourism Data - Visitor Arrival by Main Provinces in Mainland China and Statistical District","dst_visitor_03_stats.xlsx","31","https://data.gov.mo/Detail?id=3815271b-0ce1-472d-9edf-2a7fb0d7c9c1","https://api.data.gov.mo/document/download/3815271b-0ce1-472d-9edf-2a7fb0d7c9c1?fileId=1716&isNeedFile=1&lang=TC"
"4b130d1f-424f-4016-a1a2-20f8946a756e","交通安全講座人數及場數統計☯交通安全讲座人数及场数统计☯Palestra sobre a Segurança no Trânsito (Vezes e N.º de pessoas)☯Traffic safety seminar attendance and number statistics","交通安全講座人數及場數統計.xlsx","6716","https://data.gov.mo/Detail?id=4b130d1f-424f-4016-a1a2-20f8946a756e","https://api.data.gov.mo/document/download/4b130d1f-424f-4016-a1a2-20f8946a756e?fileId=2167&isNeedFile=1&lang=TC"
"4f403b89-6d16-42d6-8092-2babc5522dab","交通罰款總金額☯交通罰款總金額☯Valor total das multas de trânsito☯Total amount of traffic fines","交通罰款總金額.xlsx","6915","https://data.gov.mo/Detail?id=4f403b89-6d16-42d6-8092-2babc5522dab","https://api.data.gov.mo/document/download/4f403b89-6d16-42d6-8092-2babc5522dab?fileId=1470&isNeedFile=1&lang=TC"
"51236f98-6f30-4530-965e-feed65ee2a2c","陸路口岸跨境汽車流量(車種)☯陆路口岸跨境汽车流量(车种)☯Movimento de automóveis transfronteiriços passados pelos postos fronteiriços terrestres (Veículos)☯Cross-border vehicle flow at land ports (vehicle types)","陸路口岸跨境汽車流量(車種).xlsx","10793","https://data.gov.mo/Detail?id=51236f98-6f30-4530-965e-feed65ee2a2c","https://api.data.gov.mo/document/download/51236f98-6f30-4530-965e-feed65ee2a2c?fileId=1089&isNeedFile=1&lang=TC"
