year,month,hour,period,district_cn,district_en,zone,headcount,month_total_arrivals,daily_bus_departures,departures_share_pct,supply_demand_ratio
2026,7,0,00:00,新橋區,Barca,Macau Peninsula,1266,3542218.0,155940.0,66.58,1.577
2026,7,0,00:00,中區,Baixa de Macau,Macau Peninsula,6665,3542218.0,155940.0,66.58,1.577
2026,7,0,00:00,氹仔中心區,Baixa da Taipa,Taipa & Cotai,4717,3542218.0,66570.0,28.42,0.507
2026,7,0,00:00,台山區,Tamagnini Barbosa,Macau Peninsula,1773,3542218.0,155940.0,66.58,1.577
2026,7,0,00:00,黑沙環新填海區,Novos Aterros da Areia Preta,Macau Peninsula,1709,3542218.0,155940.0,66.58,1.577
2026,7,0,00:00,望廈及水塘區,Móng Há & Reservatório,Macau Peninsula,1005,3542218.0,155940.0,66.58,1.577
2026,7,0,00:00,外港及南灣湖新填海區,Novos Aterros do Porto Exterior & Aterros da Baía da Praia Grande,Macau Peninsula,12605,3542218.0,155940.0,66.58,1.577
2026,7,0,00:00,路氹填海區,COTAI Reclamation Area,Taipa & Cotai,65981,3542218.0,66570.0,28.42,0.507
2026,7,0,00:00,黑沙環及祐漢區,Areia Preta & Iao Hon,Macau Peninsula,2704,3542218.0,155940.0,66.58,1.577
2026,7,0,00:00,下環區,Barra/Manduco,Macau Peninsula,2579,3542218.0,155940.0,66.58,1.577
2026,7,0,00:00,荷蘭園區,Conselheiro Ferreira de Almeida,Macau Peninsula,864,3542218.0,155940.0,66.58,1.577
2026,7,0,00:00,林茂塘區,Doca do Lamau,Macau Peninsula,617,3542218.0,155940.0,66.58,1.577
2026,7,0,00:00,沙梨頭及大三巴區,Patane & São Paulo,Macau Peninsula,2653,3542218.0,155940.0,66.58,1.577
2026,7,0,00:00,新口岸區,Zona de Aterros do Porto Exterior,Macau Peninsula,12257,3542218.0,155940.0,66.58,1.577
2026,7,0,00:00,高士德及雅廉訪區,Horta e Costa & Ouvidor Arriaga,Macau Peninsula,690,3542218.0,155940.0,66.58,1.577
2026,7,0,00:00,筷子基區,Fai Chi Kei,Macau Peninsula,548,3542218.0,155940.0,66.58,1.577
2026,7,0,00:00,氹仔舊城及馬場區,Cidade & Hipódromo da Taipa,Taipa & Cotai,4835,3542218.0,66570.0,28.42,0.507
2026,7,0,00:00,路環區,Coloane,Coloane,1787,3542218.0,11693.0,4.99,2.988
2026,7,0,00:00,北安及大潭山區,Pac On & Taipa Grande,Taipa & Cotai,3339,3542218.0,66570.0,28.42,0.507
2026,7,0,00:00,青洲區,Ilha Verde,Macau Peninsula,413,3542218.0,155940.0,66.58,1.577
2026,7,0,00:00,南西灣及主教山區,Praia Grande & Penha,Macau Peninsula,1135,3542218.0,155940.0,66.58,1.577
2026,7,0,00:00,海洋及小潭山區,Jardins do Oceano & Taipa Pequena,Taipa & Cotai,660,3542218.0,66570.0,28.42,0.507
2026,7,0,00:00,東望洋區(松山區),Ferreira do Amaral (Guia),Macau Peninsula,388,3542218.0,155940.0,66.58,1.577
2026,7,0,00:00,大學及北安灣區,Universidade & Baía de Pac On,Taipa & Cotai,275,3542218.0,66570.0,28.42,0.507
2026,7,1,01:00,新橋區,Barca,Macau Peninsula,1167,3542218.0,155940.0,66.58,1.577
2026,7,1,01:00,中區,Baixa de Macau,Macau Peninsula,6129,3542218.0,155940.0,66.58,1.577
2026,7,1,01:00,氹仔中心區,Baixa da Taipa,Taipa & Cotai,4556,3542218.0,66570.0,28.42,0.507
2026,7,1,01:00,台山區,Tamagnini Barbosa,Macau Peninsula,1540,3542218.0,155940.0,66.58,1.577
2026,7,1,01:00,黑沙環新填海區,Novos Aterros da Areia Preta,Macau Peninsula,1496,3542218.0,155940.0,66.58,1.577
