year,month,period,district_cn,district_en,headcount,hour,zone
2026,7,00:00,新橋區,Barca,1266,0,Macau Peninsula
2026,7,00:00,中區,Baixa de Macau,6665,0,Macau Peninsula
2026,7,00:00,氹仔中心區,Baixa da Taipa,4717,0,Taipa & Cotai
2026,7,00:00,台山區,Tamagnini Barbosa,1773,0,Macau Peninsula
2026,7,00:00,黑沙環新填海區,Novos Aterros da Areia Preta,1709,0,Macau Peninsula
2026,7,00:00,望廈及水塘區,Móng Há & Reservatório,1005,0,Macau Peninsula
2026,7,00:00,外港及南灣湖新填海區,Novos Aterros do Porto Exterior & Aterros da Baía da Praia Grande,12605,0,Macau Peninsula
2026,7,00:00,路氹填海區,COTAI Reclamation Area,65981,0,Taipa & Cotai
2026,7,00:00,黑沙環及祐漢區,Areia Preta & Iao Hon,2704,0,Macau Peninsula
2026,7,00:00,下環區,Barra/Manduco,2579,0,Macau Peninsula
2026,7,00:00,荷蘭園區,Conselheiro Ferreira de Almeida,864,0,Macau Peninsula
2026,7,00:00,林茂塘區,Doca do Lamau,617,0,Macau Peninsula
2026,7,00:00,沙梨頭及大三巴區,Patane & São Paulo,2653,0,Macau Peninsula
2026,7,00:00,新口岸區,Zona de Aterros do Porto Exterior,12257,0,Macau Peninsula
2026,7,00:00,高士德及雅廉訪區,Horta e Costa & Ouvidor Arriaga,690,0,Macau Peninsula
2026,7,00:00,筷子基區,Fai Chi Kei,548,0,Macau Peninsula
2026,7,00:00,氹仔舊城及馬場區,Cidade & Hipódromo da Taipa,4835,0,Taipa & Cotai
2026,7,00:00,路環區,Coloane,1787,0,Coloane
2026,7,00:00,北安及大潭山區,Pac On & Taipa Grande,3339,0,Taipa & Cotai
2026,7,00:00,青洲區,Ilha Verde,413,0,Macau Peninsula
2026,7,00:00,南西灣及主教山區,Praia Grande & Penha,1135,0,Macau Peninsula
2026,7,00:00,海洋及小潭山區,Jardins do Oceano & Taipa Pequena,660,0,Taipa & Cotai
2026,7,00:00,東望洋區(松山區),Ferreira do Amaral (Guia),388,0,Macau Peninsula
2026,7,00:00,大學及北安灣區,Universidade & Baía de Pac On,275,0,Taipa & Cotai
2026,7,01:00,新橋區,Barca,1167,1,Macau Peninsula
2026,7,01:00,中區,Baixa de Macau,6129,1,Macau Peninsula
2026,7,01:00,氹仔中心區,Baixa da Taipa,4556,1,Taipa & Cotai
2026,7,01:00,台山區,Tamagnini Barbosa,1540,1,Macau Peninsula
2026,7,01:00,黑沙環新填海區,Novos Aterros da Areia Preta,1496,1,Macau Peninsula
2026,7,01:00,望廈及水塘區,Móng Há & Reservatório,897,1,Macau Peninsula
2026,7,01:00,外港及南灣湖新填海區,Novos Aterros do Porto Exterior & Aterros da Baía da Praia Grande,11541,1,Macau Peninsula
2026,7,01:00,路氹填海區,COTAI Reclamation Area,62172,1,Taipa & Cotai
2026,7,01:00,黑沙環及祐漢區,Areia Preta & Iao Hon,1795,1,Macau Peninsula
2026,7,01:00,下環區,Barra/Manduco,2505,1,Macau Peninsula
2026,7,01:00,荷蘭園區,Conselheiro Ferreira de Almeida,814,1,Macau Peninsula
2026,7,01:00,林茂塘區,Doca do Lamau,523,1,Macau Peninsula
2026,7,01:00,沙梨頭及大三巴區,Patane & São Paulo,2651,1,Macau Peninsula
2026,7,01:00,新口岸區,Zona de Aterros do Porto Exterior,12429,1,Macau Peninsula
2026,7,01:00,高士德及雅廉訪區,Horta e Costa & Ouvidor Arriaga,639,1,Macau Peninsula
2026,7,01:00,筷子基區,Fai Chi Kei,486,1,Macau Peninsula
2026,7,01:00,氹仔舊城及馬場區,Cidade & Hipódromo da Taipa,4262,1,Taipa & Cotai
2026,7,01:00,路環區,Coloane,1632,1,Coloane
2026,7,01:00,北安及大潭山區,Pac On & Taipa Grande,2881,1,Taipa & Cotai
2026,7,01:00,青洲區,Ilha Verde,316,1,Macau Peninsula
2026,7,01:00,南西灣及主教山區,Praia Grande & Penha,1138,1,Macau Peninsula
2026,7,01:00,海洋及小潭山區,Jardins do Oceano & Taipa Pequena,511,1,Taipa & Cotai
2026,7,01:00,東望洋區(松山區),Ferreira do Amaral (Guia),385,1,Macau Peninsula
2026,7,01:00,大學及北安灣區,Universidade & Baía de Pac On,253,1,Taipa & Cotai
2026,7,02:00,新橋區,Barca,1169,2,Macau Peninsula
2026,7,02:00,中區,Baixa de Macau,5884,2,Macau Peninsula
2026,7,02:00,氹仔中心區,Baixa da Taipa,4499,2,Taipa & Cotai
2026,7,02:00,台山區,Tamagnini Barbosa,1521,2,Macau Peninsula
2026,7,02:00,黑沙環新填海區,Novos Aterros da Areia Preta,1466,2,Macau Peninsula
2026,7,02:00,望廈及水塘區,Móng Há & Reservatório,872,2,Macau Peninsula
2026,7,02:00,外港及南灣湖新填海區,Novos Aterros do Porto Exterior & Aterros da Baía da Praia Grande,11106,2,Macau Peninsula
2026,7,02:00,路氹填海區,COTAI Reclamation Area,61831,2,Taipa & Cotai
2026,7,02:00,黑沙環及祐漢區,Areia Preta & Iao Hon,1625,2,Macau Peninsula
2026,7,02:00,下環區,Barra/Manduco,2538,2,Macau Peninsula
2026,7,02:00,荷蘭園區,Conselheiro Ferreira de Almeida,822,2,Macau Peninsula
