year,month,period,district_cn,district_en,headcount,hour,zone
2023,12,00:00,新橋區,Barca,1031,0,Macau Peninsula
2023,12,00:00,中區,Baixa de Macau,5906,0,Macau Peninsula
2023,12,00:00,氹仔中心區,Baixa da Taipa,3192,0,Taipa & Cotai
2023,12,00:00,台山區,Tamagnini Barbosa,1795,0,Macau Peninsula
2023,12,00:00,黑沙環新填海區,Novos Aterros da Areia Preta,1402,0,Macau Peninsula
2023,12,00:00,望廈及水塘區,Móng Há & Reservatório,750,0,Macau Peninsula
2023,12,00:00,外港及南灣湖新填海區,Novos Aterros do Porto Exterior & Aterros da Baía da Praia Grande,8350,0,Macau Peninsula
2023,12,00:00,路氹填海區,COTAI Reclamation Area,53789,0,Taipa & Cotai
2023,12,00:00,黑沙環及祐漢區,Areia Preta & Iao Hon,1472,0,Macau Peninsula
2023,12,00:00,下環區,Barra/Manduco,2263,0,Macau Peninsula
2023,12,00:00,荷蘭園區,Conselheiro Ferreira de Almeida,719,0,Macau Peninsula
2023,12,00:00,林茂塘區,Doca do Lamau,494,0,Macau Peninsula
2023,12,00:00,沙梨頭及大三巴區,Patane & São Paulo,2546,0,Macau Peninsula
2023,12,00:00,新口岸區,Zona de Aterros do Porto Exterior,10417,0,Macau Peninsula
2023,12,00:00,高士德及雅廉訪區,Horta e Costa & Ouvidor Arriaga,488,0,Macau Peninsula
2023,12,00:00,筷子基區,Fai Chi Kei,448,0,Macau Peninsula
2023,12,00:00,氹仔舊城及馬場區,Cidade & Hipódromo da Taipa,2581,0,Taipa & Cotai
2023,12,00:00,路環區,Coloane,1065,0,Coloane
2023,12,00:00,北安及大潭山區,Pac On & Taipa Grande,2815,0,Taipa & Cotai
2023,12,00:00,青洲區,Ilha Verde,297,0,Macau Peninsula
2023,12,00:00,南西灣及主教山區,Praia Grande & Penha,603,0,Macau Peninsula
2023,12,00:00,海洋及小潭山區,Jardins do Oceano & Taipa Pequena,384,0,Taipa & Cotai
2023,12,00:00,東望洋區(松山區),Ferreira do Amaral (Guia),241,0,Macau Peninsula
2023,12,00:00,大學及北安灣區,Universidade & Baía de Pac On,194,0,Taipa & Cotai
2023,12,01:00,新橋區,Barca,996,1,Macau Peninsula
2023,12,01:00,中區,Baixa de Macau,5497,1,Macau Peninsula
2023,12,01:00,氹仔中心區,Baixa da Taipa,3186,1,Taipa & Cotai
2023,12,01:00,台山區,Tamagnini Barbosa,1122,1,Macau Peninsula
2023,12,01:00,黑沙環新填海區,Novos Aterros da Areia Preta,1193,1,Macau Peninsula
2023,12,01:00,望廈及水塘區,Móng Há & Reservatório,664,1,Macau Peninsula
2023,12,01:00,外港及南灣湖新填海區,Novos Aterros do Porto Exterior & Aterros da Baía da Praia Grande,7838,1,Macau Peninsula
2023,12,01:00,路氹填海區,COTAI Reclamation Area,51800,1,Taipa & Cotai
2023,12,01:00,黑沙環及祐漢區,Areia Preta & Iao Hon,1104,1,Macau Peninsula
2023,12,01:00,下環區,Barra/Manduco,2266,1,Macau Peninsula
2023,12,01:00,荷蘭園區,Conselheiro Ferreira de Almeida,688,1,Macau Peninsula
2023,12,01:00,林茂塘區,Doca do Lamau,441,1,Macau Peninsula
2023,12,01:00,沙梨頭及大三巴區,Patane & São Paulo,2456,1,Macau Peninsula
2023,12,01:00,新口岸區,Zona de Aterros do Porto Exterior,10366,1,Macau Peninsula
2023,12,01:00,高士德及雅廉訪區,Horta e Costa & Ouvidor Arriaga,478,1,Macau Peninsula
2023,12,01:00,筷子基區,Fai Chi Kei,421,1,Macau Peninsula
2023,12,01:00,氹仔舊城及馬場區,Cidade & Hipódromo da Taipa,2314,1,Taipa & Cotai
2023,12,01:00,路環區,Coloane,889,1,Coloane
2023,12,01:00,北安及大潭山區,Pac On & Taipa Grande,2441,1,Taipa & Cotai
2023,12,01:00,青洲區,Ilha Verde,227,1,Macau Peninsula
2023,12,01:00,南西灣及主教山區,Praia Grande & Penha,600,1,Macau Peninsula
2023,12,01:00,海洋及小潭山區,Jardins do Oceano & Taipa Pequena,317,1,Taipa & Cotai
2023,12,01:00,東望洋區(松山區),Ferreira do Amaral (Guia),241,1,Macau Peninsula
2023,12,01:00,大學及北安灣區,Universidade & Baía de Pac On,188,1,Taipa & Cotai
2023,12,02:00,新橋區,Barca,1021,2,Macau Peninsula
2023,12,02:00,中區,Baixa de Macau,5305,2,Macau Peninsula
2023,12,02:00,氹仔中心區,Baixa da Taipa,3224,2,Taipa & Cotai
2023,12,02:00,台山區,Tamagnini Barbosa,1052,2,Macau Peninsula
2023,12,02:00,黑沙環新填海區,Novos Aterros da Areia Preta,1170,2,Macau Peninsula
2023,12,02:00,望廈及水塘區,Móng Há & Reservatório,616,2,Macau Peninsula
2023,12,02:00,外港及南灣湖新填海區,Novos Aterros do Porto Exterior & Aterros da Baía da Praia Grande,7551,2,Macau Peninsula
2023,12,02:00,路氹填海區,COTAI Reclamation Area,51549,2,Taipa & Cotai
2023,12,02:00,黑沙環及祐漢區,Areia Preta & Iao Hon,992,2,Macau Peninsula
2023,12,02:00,下環區,Barra/Manduco,2354,2,Macau Peninsula
2023,12,02:00,荷蘭園區,Conselheiro Ferreira de Almeida,697,2,Macau Peninsula
2023,12,02:00,林茂塘區,Doca do Lamau,444,2,Macau Peninsula
2023,12,02:00,沙梨頭及大三巴區,Patane & São Paulo,2464,2,Macau Peninsula
2023,12,02:00,新口岸區,Zona de Aterros do Porto Exterior,10585,2,Macau Peninsula
2023,12,02:00,高士德及雅廉訪區,Horta e Costa & Ouvidor Arriaga,498,2,Macau Peninsula
2023,12,02:00,筷子基區,Fai Chi Kei,434,2,Macau Peninsula
2023,12,02:00,氹仔舊城及馬場區,Cidade & Hipódromo da Taipa,2275,2,Taipa & Cotai
2023,12,02:00,路環區,Coloane,884,2,Coloane
2023,12,02:00,北安及大潭山區,Pac On & Taipa Grande,2351,2,Taipa & Cotai
2023,12,02:00,青洲區,Ilha Verde,225,2,Macau Peninsula
2023,12,02:00,南西灣及主教山區,Praia Grande & Penha,642,2,Macau Peninsula
2023,12,02:00,海洋及小潭山區,Jardins do Oceano & Taipa Pequena,283,2,Taipa & Cotai
2023,12,02:00,東望洋區(松山區),Ferreira do Amaral (Guia),247,2,Macau Peninsula
2023,12,02:00,大學及北安灣區,Universidade & Baía de Pac On,196,2,Taipa & Cotai
2023,12,03:00,新橋區,Barca,1011,3,Macau Peninsula
2023,12,03:00,中區,Baixa de Macau,5163,3,Macau Peninsula
2023,12,03:00,氹仔中心區,Baixa da Taipa,3165,3,Taipa & Cotai
2023,12,03:00,台山區,Tamagnini Barbosa,1052,3,Macau Peninsula
2023,12,03:00,黑沙環新填海區,Novos Aterros da Areia Preta,1148,3,Macau Peninsula
2023,12,03:00,望廈及水塘區,Móng Há & Reservatório,587,3,Macau Peninsula
2023,12,03:00,外港及南灣湖新填海區,Novos Aterros do Porto Exterior & Aterros da Baía da Praia Grande,7227,3,Macau Peninsula
2023,12,03:00,路氹填海區,COTAI Reclamation Area,51532,3,Taipa & Cotai
2023,12,03:00,黑沙環及祐漢區,Areia Preta & Iao Hon,994,3,Macau Peninsula
2023,12,03:00,下環區,Barra/Manduco,2367,3,Macau Peninsula
2023,12,03:00,荷蘭園區,Conselheiro Ferreira de Almeida,711,3,Macau Peninsula
2023,12,03:00,林茂塘區,Doca do Lamau,441,3,Macau Peninsula
2023,12,03:00,沙梨頭及大三巴區,Patane & São Paulo,2430,3,Macau Peninsula
2023,12,03:00,新口岸區,Zona de Aterros do Porto Exterior,10763,3,Macau Peninsula
2023,12,03:00,高士德及雅廉訪區,Horta e Costa & Ouvidor Arriaga,510,3,Macau Peninsula
2023,12,03:00,筷子基區,Fai Chi Kei,422,3,Macau Peninsula
2023,12,03:00,氹仔舊城及馬場區,Cidade & Hipódromo da Taipa,2188,3,Taipa & Cotai
2023,12,03:00,路環區,Coloane,888,3,Coloane
2023,12,03:00,北安及大潭山區,Pac On & Taipa Grande,2343,3,Taipa & Cotai
2023,12,03:00,青洲區,Ilha Verde,212,3,Macau Peninsula
2023,12,03:00,南西灣及主教山區,Praia Grande & Penha,683,3,Macau Peninsula
2023,12,03:00,海洋及小潭山區,Jardins do Oceano & Taipa Pequena,271,3,Taipa & Cotai
2023,12,03:00,東望洋區(松山區),Ferreira do Amaral (Guia),250,3,Macau Peninsula
2023,12,03:00,大學及北安灣區,Universidade & Baía de Pac On,198,3,Taipa & Cotai
2023,12,04:00,新橋區,Barca,1009,4,Macau Peninsula
2023,12,04:00,中區,Baixa de Macau,4989,4,Macau Peninsula
2023,12,04:00,氹仔中心區,Baixa da Taipa,3075,4,Taipa & Cotai
2023,12,04:00,台山區,Tamagnini Barbosa,1018,4,Macau Peninsula
2023,12,04:00,黑沙環新填海區,Novos Aterros da Areia Preta,1096,4,Macau Peninsula
2023,12,04:00,望廈及水塘區,Móng Há & Reservatório,553,4,Macau Peninsula
2023,12,04:00,外港及南灣湖新填海區,Novos Aterros do Porto Exterior & Aterros da Baía da Praia Grande,6845,4,Macau Peninsula
2023,12,04:00,路氹填海區,COTAI Reclamation Area,50988,4,Taipa & Cotai
2023,12,04:00,黑沙環及祐漢區,Areia Preta & Iao Hon,986,4,Macau Peninsula
2023,12,04:00,下環區,Barra/Manduco,2344,4,Macau Peninsula
2023,12,04:00,荷蘭園區,Conselheiro Ferreira de Almeida,709,4,Macau Peninsula
2023,12,04:00,林茂塘區,Doca do Lamau,433,4,Macau Peninsula
2023,12,04:00,沙梨頭及大三巴區,Patane & São Paulo,2384,4,Macau Peninsula
2023,12,04:00,新口岸區,Zona de Aterros do Porto Exterior,10716,4,Macau Peninsula
2023,12,04:00,高士德及雅廉訪區,Horta e Costa & Ouvidor Arriaga,516,4,Macau Peninsula
2023,12,04:00,筷子基區,Fai Chi Kei,406,4,Macau Peninsula
2023,12,04:00,氹仔舊城及馬場區,Cidade & Hipódromo da Taipa,2114,4,Taipa & Cotai
2023,12,04:00,路環區,Coloane,881,4,Coloane
2023,12,04:00,北安及大潭山區,Pac On & Taipa Grande,2191,4,Taipa & Cotai
2023,12,04:00,青洲區,Ilha Verde,199,4,Macau Peninsula
2023,12,04:00,南西灣及主教山區,Praia Grande & Penha,693,4,Macau Peninsula
2023,12,04:00,海洋及小潭山區,Jardins do Oceano & Taipa Pequena,252,4,Taipa & Cotai
2023,12,04:00,東望洋區(松山區),Ferreira do Amaral (Guia),246,4,Macau Peninsula
2023,12,04:00,大學及北安灣區,Universidade & Baía de Pac On,195,4,Taipa & Cotai
2023,12,05:00,新橋區,Barca,1022,5,Macau Peninsula
2023,12,05:00,中區,Baixa de Macau,4914,5,Macau Peninsula
2023,12,05:00,氹仔中心區,Baixa da Taipa,3084,5,Taipa & Cotai
2023,12,05:00,台山區,Tamagnini Barbosa,1026,5,Macau Peninsula
2023,12,05:00,黑沙環新填海區,Novos Aterros da Areia Preta,1073,5,Macau Peninsula
2023,12,05:00,望廈及水塘區,Móng Há & Reservatório,548,5,Macau Peninsula
2023,12,05:00,外港及南灣湖新填海區,Novos Aterros do Porto Exterior & Aterros da Baía da Praia Grande,6585,5,Macau Peninsula
2023,12,05:00,路氹填海區,COTAI Reclamation Area,51165,5,Taipa & Cotai
2023,12,05:00,黑沙環及祐漢區,Areia Preta & Iao Hon,998,5,Macau Peninsula
2023,12,05:00,下環區,Barra/Manduco,2362,5,Macau Peninsula
2023,12,05:00,荷蘭園區,Conselheiro Ferreira de Almeida,717,5,Macau Peninsula
2023,12,05:00,林茂塘區,Doca do Lamau,435,5,Macau Peninsula
2023,12,05:00,沙梨頭及大三巴區,Patane & São Paulo,2376,5,Macau Peninsula
2023,12,05:00,新口岸區,Zona de Aterros do Porto Exterior,10792,5,Macau Peninsula
2023,12,05:00,高士德及雅廉訪區,Horta e Costa & Ouvidor Arriaga,533,5,Macau Peninsula
2023,12,05:00,筷子基區,Fai Chi Kei,401,5,Macau Peninsula
2023,12,05:00,氹仔舊城及馬場區,Cidade & Hipódromo da Taipa,2117,5,Taipa & Cotai
2023,12,05:00,路環區,Coloane,884,5,Coloane
2023,12,05:00,北安及大潭山區,Pac On & Taipa Grande,2143,5,Taipa & Cotai
2023,12,05:00,青洲區,Ilha Verde,200,5,Macau Peninsula
2023,12,05:00,南西灣及主教山區,Praia Grande & Penha,719,5,Macau Peninsula
2023,12,05:00,海洋及小潭山區,Jardins do Oceano & Taipa Pequena,244,5,Taipa & Cotai
2023,12,05:00,東望洋區(松山區),Ferreira do Amaral (Guia),250,5,Macau Peninsula
2023,12,05:00,大學及北安灣區,Universidade & Baía de Pac On,201,5,Taipa & Cotai
2023,12,06:00,新橋區,Barca,1028,6,Macau Peninsula
2023,12,06:00,中區,Baixa de Macau,4869,6,Macau Peninsula
2023,12,06:00,氹仔中心區,Baixa da Taipa,3108,6,Taipa & Cotai
2023,12,06:00,台山區,Tamagnini Barbosa,1050,6,Macau Peninsula
2023,12,06:00,黑沙環新填海區,Novos Aterros da Areia Preta,1065,6,Macau Peninsula
2023,12,06:00,望廈及水塘區,Móng Há & Reservatório,550,6,Macau Peninsula
2023,12,06:00,外港及南灣湖新填海區,Novos Aterros do Porto Exterior & Aterros da Baía da Praia Grande,6331,6,Macau Peninsula
2023,12,06:00,路氹填海區,COTAI Reclamation Area,50999,6,Taipa & Cotai
2023,12,06:00,黑沙環及祐漢區,Areia Preta & Iao Hon,1012,6,Macau Peninsula
2023,12,06:00,下環區,Barra/Manduco,2372,6,Macau Peninsula
2023,12,06:00,荷蘭園區,Conselheiro Ferreira de Almeida,725,6,Macau Peninsula
2023,12,06:00,林茂塘區,Doca do Lamau,438,6,Macau Peninsula
2023,12,06:00,沙梨頭及大三巴區,Patane & São Paulo,2360,6,Macau Peninsula
2023,12,06:00,新口岸區,Zona de Aterros do Porto Exterior,10744,6,Macau Peninsula
2023,12,06:00,高士德及雅廉訪區,Horta e Costa & Ouvidor Arriaga,537,6,Macau Peninsula
2023,12,06:00,筷子基區,Fai Chi Kei,405,6,Macau Peninsula
