year,gw,date,series,arrivals,gw_label,day_index,month_baseline_daily,ratio_vs_month_avg
2017,Spring Festival Golden Week,2017-01-27,Total Visitor Arrivals,65329,Spring Festival Golden Week 2017,1,92775.67741935483,0.7041608513911113
2017,Spring Festival Golden Week,2017-01-28,Total Visitor Arrivals,100409,Spring Festival Golden Week 2017,2,92775.67741935483,1.0822771958445727
2017,Spring Festival Golden Week,2017-01-29,Total Visitor Arrivals,123223,Spring Festival Golden Week 2017,3,92775.67741935483,1.3281821639848599
2017,Spring Festival Golden Week,2017-01-30,Total Visitor Arrivals,166048,Spring Festival Golden Week 2017,4,92775.67741935483,1.7897794402453926
2017,Spring Festival Golden Week,2017-01-31,Total Visitor Arrivals,156179,Spring Festival Golden Week 2017,5,92775.67741935483,1.6834045769782542
2017,Spring Festival Golden Week,2017-02-01,Total Visitor Arrivals,154351,Spring Festival Golden Week 2017,6,89114.14285714286,1.732059525584363
2017,Spring Festival Golden Week,2017-02-02,Total Visitor Arrivals,138832,Spring Festival Golden Week 2017,7,89114.14285714286,1.5579120838603462
2017,1st October Golden Week,2017-10-01,Total Visitor Arrivals,111482,1st October Golden Week 2017,1,93184.3870967742,1.1963592128821248
2017,1st October Golden Week,2017-10-02,Total Visitor Arrivals,130112,1st October Golden Week 2017,2,93184.3870967742,1.3962854084652143
2017,1st October Golden Week,2017-10-03,Total Visitor Arrivals,130581,1st October Golden Week 2017,3,93184.3870967742,1.4013184404420511
2017,1st October Golden Week,2017-10-04,Total Visitor Arrivals,90992,1st October Golden Week 2017,4,93184.3870967742,0.9764725919751197
2017,1st October Golden Week,2017-10-05,Total Visitor Arrivals,133667,1st October Golden Week 2017,5,93184.3870967742,1.4344355762214076
2017,1st October Golden Week,2017-10-06,Total Visitor Arrivals,130034,1st October Golden Week 2017,6,93184.3870967742,1.3954483583709856
2017,1st October Golden Week,2017-10-07,Total Visitor Arrivals,107821,1st October Golden Week 2017,7,93184.3870967742,1.1570715155106974
2018,Spring Festival Golden Week,2018-02-15,Total Visitor Arrivals,69661,Spring Festival Golden Week 2018,1,109676.32142857143,0.6351507699441571
2018,Spring Festival Golden Week,2018-02-16,Total Visitor Arrivals,107353,Spring Festival Golden Week 2018,2,109676.32142857143,0.9788165631532004
2018,Spring Festival Golden Week,2018-02-17,Total Visitor Arrivals,136509,Spring Festival Golden Week 2018,3,109676.32142857143,1.2446533419604504
2018,Spring Festival Golden Week,2018-02-18,Total Visitor Arrivals,185079,Spring Festival Golden Week 2018,4,109676.32142857143,1.6875018927447876
2018,Spring Festival Golden Week,2018-02-19,Total Visitor Arrivals,166538,Spring Festival Golden Week 2018,5,109676.32142857143,1.5184499063315202
2018,Spring Festival Golden Week,2018-02-20,Total Visitor Arrivals,157666,Spring Festival Golden Week 2018,6,109676.32142857143,1.437557331850181
2018,Spring Festival Golden Week,2018-02-21,Total Visitor Arrivals,135739,Spring Festival Golden Week 2018,7,109676.32142857143,1.2376326834448248
2018,1st October Golden Week,2018-10-01,Total Visitor Arrivals,130876,1st October Golden Week 2018,1,101751.32258064517,1.2862338953508095
2018,1st October Golden Week,2018-10-02,Total Visitor Arrivals,142156,1st October Golden Week 2018,2,101751.32258064517,1.397092405234647
2018,1st October Golden Week,2018-10-03,Total Visitor Arrivals,145742,1st October Golden Week 2018,3,101751.32258064517,1.432335190380342
2018,1st October Golden Week,2018-10-04,Total Visitor Arrivals,136096,1st October Golden Week 2018,4,101751.32258064517,1.33753543981833
2018,1st October Golden Week,2018-10-05,Total Visitor Arrivals,134065,1st October Golden Week 2018,5,101751.32258064517,1.31757501130999
2018,1st October Golden Week,2018-10-06,Total Visitor Arrivals,112934,1st October Golden Week 2018,6,101751.32258064517,1.1099020350373507
2018,1st October Golden Week,2018-10-07,Total Visitor Arrivals,81416,1st October Golden Week 2018,7,101751.32258064517,0.8001468475800108
2019,Spring Festival Golden Week,2019-02-04,Total Visitor Arrivals,84216,Spring Festival Golden Week 2019,1,126632.17857142857,0.6650442324380991
2019,Spring Festival Golden Week,2019-02-05,Total Visitor Arrivals,141041,Spring Festival Golden Week 2019,2,126632.17857142857,1.1137848340849947
2019,Spring Festival Golden Week,2019-02-06,Total Visitor Arrivals,175453,Spring Festival Golden Week 2019,3,126632.17857142857,1.3855325082402605
2019,Spring Festival Golden Week,2019-02-07,Total Visitor Arrivals,226326,Spring Festival Golden Week 2019,4,126632.17857142857,1.7872708386860596
2019,Spring Festival Golden Week,2019-02-08,Total Visitor Arrivals,213003,Spring Festival Golden Week 2019,5,126632.17857142857,1.682060613684008
2019,Spring Festival Golden Week,2019-02-09,Total Visitor Arrivals,197196,Spring Festival Golden Week 2019,6,126632.17857142857,1.5572345214669823
2019,Spring Festival Golden Week,2019-02-10,Total Visitor Arrivals,164677,Spring Festival Golden Week 2019,7,126632.17857142857,1.3004356543318234
