date,year,month,arrivals,same_day_arrivals,arrivals_yoy_pct,same_day_share_pct
2008-01-01,2008,1,1900592.0,1030413.0,,54.21537078973288
2008-02-01,2008,2,2000243.0,1080446.0,,54.01573708794381
2008-03-01,2008,3,2135523.0,1173683.0,,54.959979358686375
2008-04-01,2008,4,1934585.0,1049762.0,,54.2629039303003
2008-05-01,2008,5,2000282.0,1102186.0,,55.10153068417353
2008-06-01,2008,6,1732914.0,936192.0,,54.024146610853165
2008-07-01,2008,7,2061558.0,1089460.0,,52.84643944046202
2008-08-01,2008,8,1940850.0,1019345.0,,52.520545121982636
2008-09-01,2008,9,1627882.0,874482.0,,53.719004203007344
2008-10-01,2008,10,1850175.0,1027643.0,,55.54301620117016
2008-11-01,2008,11,1840056.0,979736.0,,53.24490124213611
2008-12-01,2008,12,1908525.0,959948.0,,50.29790021089585
2009-01-01,2009,1,1915477.0,1036398.0,0.78,54.106522813899616
2009-02-01,2009,2,1654518.0,891124.0,-17.28,53.86003657862894
2009-03-01,2009,3,1884175.0,1002504.0,-11.77,53.20652274868311
2009-04-01,2009,4,1867204.0,978392.0,-3.48,52.39877378154717
2009-05-01,2009,5,1591500.0,883559.0,-20.44,55.517373546968265
2009-06-01,2009,6,1458105.0,779004.0,-15.86,53.42578209388213
2009-07-01,2009,7,1755103.0,922667.0,-14.87,52.57053289749946
2009-08-01,2009,8,2065336.0,1042673.0,6.41,50.48442481029721
2009-09-01,2009,9,1689007.0,851758.0,3.75,50.429512725524525
2009-10-01,2009,10,1946217.0,1025715.0,5.19,52.70301307613693
2009-11-01,2009,11,1890252.0,951923.0,2.73,50.35958168540491
2009-12-01,2009,12,2035857.0,985135.0,6.67,48.3892041533369
2010-01-01,2010,1,2046556.0,1040977.0,6.84,50.86481874915712
2010-02-01,2010,2,2057566.0,1083981.0,24.36,52.68268429785484
2010-03-01,2010,3,2011099.0,1055902.0,6.74,52.503730547327606
2010-04-01,2010,4,2111563.0,1076157.0,13.09,50.964948713346466
2010-05-01,2010,5,2098267.0,1107475.0,31.84,52.78046120917881
2010-06-01,2010,6,1904395.0,984916.0,30.61,51.71805218980306
2010-07-01,2010,7,2162069.0,1105921.0,23.19,51.15105022087639
2010-08-01,2010,8,2357689.0,1241104.0,14.16,52.640700278959606
2010-09-01,2010,9,1839375.0,970605.0,8.9,52.76819571865443
2010-10-01,2010,10,2092343.0,1143513.0,7.51,54.65227259584112
2010-11-01,2010,11,2013188.0,1064673.0,6.5,52.88492679272875
2010-12-01,2010,12,2271301.0,1164316.0,11.56,51.262074027176496
2011-01-01,2011,1,2076066.0,1130951.0,1.44,54.47567659217
2011-02-01,2011,2,2164249.0,1181261.0,5.18,54.58064206105674
2011-03-01,2011,3,2190865.0,1206451.0,8.94,55.067336417351136
2011-04-01,2011,4,2338449.0,1271544.0,10.74,54.37552839510291
2011-05-01,2011,5,2295551.0,1258741.0,9.4,54.83393747296401
2011-06-01,2011,6,2181476.0,1142014.0,14.55,52.350518639673325
2011-07-01,2011,7,2550867.0,1323512.0,17.98,51.88479054376414
2011-08-01,2011,8,2698003.0,1411916.0,14.43,52.33189140264114
2011-09-01,2011,9,2166627.0,1145615.0,17.79,52.87550649004189
2011-10-01,2011,10,2376643.0,1333204.0,13.59,56.09609857265058
2011-11-01,2011,11,2417765.0,1317503.0,20.1,54.492599570264275
2011-12-01,2011,12,2545718.0,1354407.0,12.08,53.20333988289355
2012-01-01,2012,1,2461640.0,1371090.0,18.57,55.69823369785996
2012-02-01,2012,2,2130977.0,1136136.0,-1.54,53.31526337449912
2012-03-01,2012,3,2349703.0,1274063.0,7.25,54.22229958424533
2012-04-01,2012,4,2382156.0,1257210.0,1.87,52.77614060540116
2012-05-01,2012,5,2146542.0,1109995.0,-6.49,51.71084469812377
2012-06-01,2012,6,2106696.0,1041419.0,-3.43,49.43375788438389
2012-07-01,2012,7,2444264.0,1196291.0,-4.18,48.942790140508556
2012-08-01,2012,8,2681141.0,1346349.0,-0.62,50.21552391313997
2012-09-01,2012,9,2161566.0,1082486.0,-0.23,50.078785473124576
2012-10-01,2012,10,2347646.0,1232327.0,-1.22,52.49202818482855
2012-11-01,2012,11,2374110.0,1214337.0,-1.81,51.149146416973096
2012-12-01,2012,12,2495851.0,1243291.0,-1.96,49.81431183191625
2013-01-01,2013,1,2312321.0,1195450.0,-6.07,51.69913692778814
2013-02-01,2013,2,2376840.0,1263616.0,11.54,53.16369633631208
2013-03-01,2013,3,2387281.0,1216775.0,1.6,50.96907318409521
2013-04-01,2013,4,2398340.0,1238786.0,0.68,51.65180916800787
2013-05-01,2013,5,2342523.0,1211591.0,9.13,51.721626639311545
2013-06-01,2013,6,2324935.0,1164332.0,10.36,50.08019579041995
2013-07-01,2013,7,2565170.0,1287741.0,4.95,50.2010003235653
2013-08-01,2013,8,2871088.0,1445589.0,7.08,50.34986736735342
2013-09-01,2013,9,2332325.0,1178340.0,7.9,50.52211848691756
2013-10-01,2013,10,2394195.0,1269280.0,1.98,53.01489644744893
2013-11-01,2013,11,2432975.0,1271023.0,2.48,52.24151501762246
2013-12-01,2013,12,2586829.0,1313836.0,3.65,50.78944143582741
2014-01-01,2014,1,2503609.0,1344101.0,8.27,53.68653811357924
2014-02-01,2014,2,2560560.0,1383257.0,7.73,54.02165932452276
2014-03-01,2014,3,2625997.0,1393993.0,10.0,53.084333302741776
2014-04-01,2014,4,2636614.0,1426093.0,9.93,54.088046259331094
2014-05-01,2014,5,2525026.0,1351799.0,7.79,53.53604279718308
2014-06-01,2014,6,2432041.0,1297678.0,4.61,53.35757086332015
2014-07-01,2014,7,2753394.0,1445797.0,7.34,52.509629933093485
2014-08-01,2014,8,3086271.0,1666809.0,7.49,54.00721453171157
2014-09-01,2014,9,2405497.0,1241926.0,3.14,51.62866551070319
2014-10-01,2014,10,2654180.0,1470484.0,10.86,55.40257254594639
2014-11-01,2014,11,2802373.0,1562331.0,15.18,55.750287345760185
2014-12-01,2014,12,2540070.0,1375681.0,-1.81,54.15917671560233
2015-01-01,2015,1,2465612.0,1377093.0,-1.52,55.8519750877267
2015-02-01,2015,2,2676024.0,1574123.0,4.51,58.823201884586986
2015-03-01,2015,3,2270585.0,1242058.0,-13.53,54.70211421285704
2015-04-01,2015,4,2547435.0,1387618.0,-3.38,54.47118375935009
2015-05-01,2015,5,2548562.0,1386839.0,0.93,54.41652979209452
2015-06-01,2015,6,2248281.0,1172411.0,-7.56,52.1469958603929
2015-07-01,2015,7,2648894.0,1353271.0,-3.8,51.08815226279345
2015-08-01,2015,8,3033081.0,1608385.0,-1.72,53.02809255671049
2015-09-01,2015,9,2415499.0,1242519.0,0.42,51.439433425557205
2015-10-01,2015,10,2637106.0,1414348.0,-0.64,53.632580563693686
2015-11-01,2015,11,2589451.0,1344381.0,-7.6,51.91760724570575
2015-12-01,2015,12,2634098.0,1303815.0,3.7,49.49758892797458
2016-01-01,2016,1,2445876.0,1299974.0,-0.8,53.149628190472455
2016-02-01,2016,2,2644289.0,1454944.0,-1.19,55.02212504003912
2016-03-01,2016,3,2366941.0,1193671.0,4.24,50.43095708765026
2016-04-01,2016,4,2471253.0,1247036.0,-2.99,50.46168886795484
2016-05-01,2016,5,2477591.0,1272242.0,-2.78,51.349960505991504
2016-06-01,2016,6,2358346.0,1133170.0,4.9,48.04935323315578
2016-07-01,2016,7,2794855.0,1339066.0,5.51,47.91182369031667
2016-08-01,2016,8,2882557.0,1405647.0,-4.96,48.763892613398454
2016-09-01,2016,9,2427086.0,1115553.0,0.48,45.96264821271269
2016-10-01,2016,10,2678447.0,1307480.0,1.57,48.81485427936413
2016-11-01,2016,11,2588645.0,1213893.0,-0.03,46.892988416719945
2016-12-01,2016,12,2814450.0,1264044.0,6.85,44.912647231253
2017-01-01,2017,1,2876046.0,1513000.0,17.59,52.606947176783684
2017-02-01,2017,2,2495196.0,1263236.0,-5.64,50.62672431344071
2017-03-01,2017,3,2501219.0,1164835.0,5.67,46.57069213051716
2017-04-01,2017,4,2742799.0,1301637.0,10.99,47.45652160439026
2017-05-01,2017,5,2570428.0,1194092.0,3.75,46.454987262821604
2017-06-01,2017,6,2378615.0,1030008.0,0.86,43.30284640431512
2017-07-01,2017,7,2917953.0,1308527.0,4.4,44.8440053695176
2017-08-01,2017,8,2866400.0,1318619.0,-0.56,46.00261652246721
2017-09-01,2017,9,2486383.0,1104357.0,2.44,44.41620619188596
2017-10-01,2017,10,2888716.0,1417680.0,7.85,49.07647549984145
2017-11-01,2017,11,2833061.0,1321292.0,9.44,46.63831805951231
2017-12-01,2017,12,3053690.0,1418385.0,8.5,46.44823148387688
2018-01-01,2018,1,2741465.0,1258358.0,-4.68,45.90093253059951
2018-02-01,2018,2,3070937.0,1674869.0,23.07,54.53934743695491
2018-03-01,2018,3,2733311.0,1282048.0,9.28,46.9045783666769
2018-04-01,2018,4,2960879.0,1419108.0,7.95,47.928604985208786
2018-05-01,2018,5,2704745.0,1255314.0,5.23,46.41154711442299
2018-06-01,2018,6,2602853.0,1157422.0,9.43,44.46743630931136
2018-07-01,2018,7,3034297.0,1397393.0,3.99,46.05327032917344
2018-08-01,2018,8,3403503.0,1603257.0,18.74,47.10608452526706
2018-09-01,2018,9,2561274.0,1152948.0,3.01,45.014629438318586
2018-10-01,2018,10,3154291.0,1604400.0,9.19,50.864045200648896
2018-11-01,2018,11,3266283.0,1677037.0,15.29,51.34389763532431
2018-12-01,2018,12,3569825.0,1828558.0,16.9,51.22262295770801
2019-01-01,2019,1,3425126.0,1783758.0,24.94,52.078609662827006
2019-02-01,2019,2,3545701.0,2035523.0,15.46,57.40819657382278
2019-03-01,2019,3,3388931.0,1805451.0,23.99,53.27494127204124
