route,phase,startStation,endStation,obs,mean_crowd,crowded_share
3,Grand Prix,0,1,201,1.96,11.94
3,Grand Prix,0,2,2,1.5,0.0
3,Grand Prix,1,2,248,2.222,22.984
3,Grand Prix,2,3,256,2.168,20.703
3,Grand Prix,2,4,1,4.0,100.0
3,Grand Prix,3,4,255,2.227,23.529
3,Grand Prix,3,5,1,1.0,0.0
3,Grand Prix,4,5,251,2.371,26.693
3,Grand Prix,5,6,254,2.413,29.134
3,Grand Prix,5,7,1,5.0,100.0
3,Grand Prix,6,7,256,2.414,29.688
3,Grand Prix,7,8,88,1.739,17.045
3,Grand Prix,7,12,109,2.165,29.358
3,Grand Prix,8,9,81,1.63,16.049
3,Grand Prix,8,12,4,3.75,75.0
3,Grand Prix,9,10,81,1.58,16.049
3,Grand Prix,9,11,1,0.0,0.0
3,Grand Prix,10,11,71,1.465,14.085
3,Grand Prix,11,12,82,1.451,15.854
3,Grand Prix,12,13,240,1.971,27.083
3,Normal week,0,1,133,1.774,9.774
3,Normal week,1,2,149,2.255,18.121
3,Normal week,1,3,3,1.333,0.0
3,Normal week,2,3,167,2.204,16.766
3,Normal week,3,4,170,2.206,18.235
3,Normal week,4,5,167,2.257,21.557
3,Normal week,5,6,170,2.388,26.471
3,Normal week,6,7,168,2.435,27.381
3,Normal week,6,8,1,3.0,0.0
3,Normal week,7,8,166,2.295,24.699
3,Normal week,8,9,164,2.152,25.61
3,Normal week,8,10,2,0.0,0.0
3,Normal week,9,10,165,1.933,23.636
3,Normal week,9,11,1,0.0,0.0
3,Normal week,10,11,141,1.858,22.695
3,Normal week,11,12,165,1.77,21.212
3,Normal week,12,13,162,1.79,22.84
3,Normal week,12,14,1,0.0,0.0
3,Normal week,13,14,165,1.739,22.424
AP1,Grand Prix,0,1,13,0.385,0.0
AP1,Grand Prix,1,2,16,0.5,0.0
AP1,Grand Prix,2,3,16,0.562,0.0
AP1,Grand Prix,3,4,6,0.5,0.0
AP1,Grand Prix,3,7,7,0.0,0.0
AP1,Grand Prix,3,8,2,0.0,0.0
AP1,Grand Prix,4,5,1,0.0,0.0
AP1,Grand Prix,4,18,6,0.167,0.0
AP1,Grand Prix,5,6,1,0.0,0.0
AP1,Grand Prix,6,7,7,0.0,0.0
AP1,Grand Prix,7,8,14,0.0,0.0
AP1,Grand Prix,8,9,15,0.0,0.0
AP1,Grand Prix,8,10,1,0.0,0.0
AP1,Grand Prix,9,10,14,0.071,0.0
AP1,Grand Prix,10,11,16,0.25,0.0
AP1,Grand Prix,11,12,16,0.312,0.0
AP1,Grand Prix,12,13,14,0.571,0.0
AP1,Grand Prix,12,14,2,0.0,0.0
AP1,Grand Prix,13,14,14,0.571,0.0
AP1,Grand Prix,14,15,16,0.5,0.0
AP1,Grand Prix,15,16,16,0.562,0.0
AP1,Grand Prix,16,17,14,0.429,0.0
AP1,Grand Prix,16,18,2,1.0,0.0
AP1,Grand Prix,17,18,5,1.0,0.0
AP1,Grand Prix,17,20,3,0.0,0.0
AP1,Grand Prix,18,19,7,1.143,0.0
AP1,Grand Prix,19,20,8,1.625,12.5
AP1,Grand Prix,20,21,16,0.938,6.25
AP1,Normal week,0,1,1,0.0,0.0
AP1,Normal week,1,2,2,1.5,0.0
AP1,Normal week,2,3,2,1.5,0.0
AP1,Normal week,3,4,2,1.5,0.0
AP1,Normal week,4,5,2,1.5,0.0
AP1,Normal week,5,6,2,1.0,0.0
AP1,Normal week,6,7,2,0.5,0.0
AP1,Normal week,7,8,2,1.0,0.0
AP1,Normal week,8,9,2,1.0,0.0
AP1,Normal week,9,10,2,1.0,0.0
AP1,Normal week,10,11,2,0.5,0.0
AP1,Normal week,11,12,2,0.5,0.0
AP1,Normal week,12,13,2,0.0,0.0
AP1,Normal week,13,14,2,0.0,0.0
AP1,Normal week,14,15,2,0.5,0.0
AP1,Normal week,15,16,2,0.5,0.0
AP1,Normal week,16,17,2,0.5,0.0
AP1,Normal week,17,18,2,0.5,0.0
AP1,Normal week,18,19,2,0.5,0.0
AP1,Normal week,19,20,2,1.5,0.0
AP1,Normal week,20,21,2,1.5,0.0
