hour,demand_share_pct,supply_share_weekday_pct,supply_share_weekend_pct,gap_weekday_pp,gap_weekend_pp
0,3.625,0.299,0.313,-3.326,-3.312
1,3.361,0.275,0.288,-3.086,-3.073
2,3.337,0.275,0.288,-3.062,-3.049
3,3.319,0.275,0.288,-3.044,-3.031
4,3.284,0.275,0.288,-3.009,-2.996
5,3.253,0.668,0.7,-2.585,-2.553
6,3.239,5.176,5.089,1.937,1.85
7,3.26,7.173,6.877,3.913,3.617
8,3.321,7.277,6.94,3.956,3.619
9,3.462,6.73,6.589,3.268,3.127
10,3.759,4.688,4.858,0.929,1.099
11,4.195,4.627,4.818,0.432,0.623
12,4.632,4.627,4.824,-0.005,0.192
13,4.982,4.627,4.824,-0.355,-0.158
14,5.219,4.627,4.824,-0.592,-0.395
15,5.358,6.304,6.303,0.946,0.945
16,5.427,6.825,6.693,1.398,1.266
17,5.401,6.979,6.766,1.578,1.365
18,5.226,6.975,6.766,1.749,1.54
19,5.029,6.457,6.406,1.428,1.377
20,4.777,4.057,4.113,-0.72,-0.664
21,4.48,3.86,3.98,-0.62,-0.5
22,4.176,3.651,3.772,-0.525,-0.404
23,3.877,3.273,3.392,-0.604,-0.485
