indicator,period,amount
public buses in service,2019-01,915
public buses in service,2019-02,907
public buses in service,2019-03,907
public buses in service,2019-04,917
public buses in service,2019-05,917
public buses in service,2019-06,913
public buses in service,2019-07,918
public buses in service,2019-08,918
public buses in service,2019-09,918
public buses in service,2019-10,918
public buses in service,2019-11,910
public buses in service,2019-12,910
public buses in service,2020-01,910
public buses in service,2020-02,910
public buses in service,2020-03,910
public buses in service,2020-04,910
public buses in service,2020-05,910
public buses in service,2020-06,925
public buses in service,2020-07,925
public buses in service,2020-08,930
public buses in service,2020-09,930
public buses in service,2020-10,934
public buses in service,2020-11,931
public buses in service,2020-12,1000
public buses in service,2021-01,1015
public buses in service,2021-02,1015
public buses in service,2021-03,1015
public buses in service,2021-04,1015
public buses in service,2021-05,999
public buses in service,2021-06,1023
public buses in service,2021-07,1023
public buses in service,2021-08,1023
public buses in service,2021-09,1008
public buses in service,2021-10,1028
public buses in service,2021-11,1030
public buses in service,2021-12,967
public buses in service,2022-01,967
public buses in service,2022-02,985
public buses in service,2022-03,1040
public buses in service,2022-04,1091
public buses in service,2022-05,1032
public buses in service,2022-06,1032
public buses in service,2022-07,955
public buses in service,2022-08,955
public buses in service,2022-09,955
public buses in service,2022-10,955
public buses in service,2022-11,957
public buses in service,2022-12,1110
public buses in service,2023-01,1211
public buses in service,2023-02,1241
public buses in service,2023-03,1144
public buses in service,2023-04,1144
public buses in service,2023-05,1066
public buses in service,2023-06,1064
public buses in service,2023-07,1064
public buses in service,2023-08,1042
public buses in service,2023-09,1038
public buses in service,2023-10,1028
public buses in service,2023-11,1033
public buses in service,2023-12,1091
public buses in service,2024-01,1099
public buses in service,2024-02,1068
public buses in service,2024-03,1057
public buses in service,2024-04,1053
public buses in service,2024-05,1015
public buses in service,2024-06,1043
public buses in service,2024-07,1038
public buses in service,2024-08,971
public buses in service,2024-09,971
public buses in service,2024-10,972
public buses in service,2024-11,1009
public buses in service,2024-12,1007
public buses in service,2025-01,1007
public buses in service,2025-02,1007
public buses in service,2025-03,984
public buses in service,2025-04,984
public buses in service,2025-05,984
public buses in service,2025-06,984
public buses in service,2025-07,984
public buses in service,2025-08,984
public buses in service,2025-09,984
public buses in service,2025-10,983
public buses in service,2025-11,983
public buses in service,2025-12,1010
public buses in service,2026-01,964
public buses in service,2026-02,964
public buses in service,2026-03,964
public bus stops,2019-01,413
public bus stops,2019-02,414
public bus stops,2019-03,414
public bus stops,2019-04,414
public bus stops,2019-05,413
public bus stops,2019-06,413
public bus stops,2019-07,413
public bus stops,2019-08,414
public bus stops,2019-09,414
public bus stops,2019-10,414
public bus stops,2019-11,413
public bus stops,2019-12,415
public bus stops,2020-01,415
public bus stops,2020-02,415
public bus stops,2020-03,416
public bus stops,2020-04,416
public bus stops,2020-05,417
public bus stops,2020-06,418
public bus stops,2020-07,418
public bus stops,2020-08,421
public bus stops,2020-09,424
public bus stops,2020-10,424
public bus stops,2020-11,425
public bus stops,2020-12,425
public bus stops,2021-01,424
public bus stops,2021-02,424
public bus stops,2021-03,424
public bus stops,2021-04,424
public bus stops,2021-05,424
public bus stops,2021-06,424
public bus stops,2021-07,424
public bus stops,2021-08,426
public bus stops,2021-09,426
public bus stops,2021-10,429
public bus stops,2021-11,432
public bus stops,2021-12,432
public bus stops,2022-01,432
public bus stops,2022-02,432
public bus stops,2022-03,432
public bus stops,2022-04,432
public bus stops,2022-05,434
public bus stops,2022-06,434
public bus stops,2022-07,434
public bus stops,2022-08,434
public bus stops,2022-09,434
public bus stops,2022-10,435
public bus stops,2022-11,435
public bus stops,2022-12,435
public bus stops,2023-01,436
public bus stops,2023-02,436
public bus stops,2023-03,435
public bus stops,2023-04,435
public bus stops,2023-05,435
public bus stops,2023-06,435
public bus stops,2023-07,435
public bus stops,2023-08,435
public bus stops,2023-09,435
public bus stops,2023-10,435
public bus stops,2023-11,435
public bus stops,2023-12,439
public bus stops,2024-01,436
public bus stops,2024-02,439
public bus stops,2024-03,439
public bus stops,2024-04,439
public bus stops,2024-05,439
public bus stops,2024-06,439
public bus stops,2024-07,439
public bus stops,2024-08,439
public bus stops,2024-09,439
public bus stops,2024-10,440
public bus stops,2024-11,441
public bus stops,2024-12,441
public bus stops,2025-01,441
public bus stops,2025-02,441
public bus stops,2025-03,442
public bus stops,2025-04,444
public bus stops,2025-05,444
public bus stops,2025-06,444
public bus stops,2025-07,444
public bus stops,2025-08,444
public bus stops,2025-09,447
public bus stops,2025-10,447
public bus stops,2025-11,447
public bus stops,2025-12,448
public bus stops,2026-01,448
public bus stops,2026-02,450
public bus stops,2026-03,450
annual public bus passenger trips,2018,214709065
annual public bus passenger trips,2019,228941399
annual public bus passenger trips,2020,166422166
annual public bus passenger trips,2021,193238314
annual public bus passenger trips,2022,168494190
annual public bus passenger trips,2023,214206088
annual public bus passenger trips,2024,227386737
annual public bus passenger trips,2025,231497093
