route,nameCht,type,n_directions,n_stop_records,zones_served,cross_bridge,reaches_coloane
1,關閘 ⇌ 媽閣,2-way,2,29,Macau Peninsula,False,False
1A,筷子基街 ⇌ 新口岸/科英布拉街,2-way,2,28,Macau Peninsula,False,False
2,永寧廣場 ⇌ 媽閣,2-way,2,37,Macau Peninsula,False,False
2A,東方明珠 ↻ 亞馬喇前地,circular,1,22,Macau Peninsula,False,False
3,關閘 ⇌ 外港碼頭,2-way,2,31,Macau Peninsula,False,False
3A,司打口 ↻ 關閘,circular,1,38,Macau Peninsula,False,False
3AX,關閘 ↻ 亞馬喇前地,circular,1,16,Macau Peninsula,False,False
3X,關閘 ↻ 亞馬喇前地,circular,1,16,Macau Peninsula,False,False
4,筷子基 ↻ 新馬路,circular,1,15,Macau Peninsula,False,False
5,媽閣 ↻ 華大新村,circular,1,27,Macau Peninsula,False,False
5AX,旅遊塔 ↻ 華大新村,circular,1,19,Macau Peninsula,False,False
5X,青洲坊 ↻ 皇朝,circular,1,22,Macau Peninsula,False,False
6A,永寧廣場 ↻ 山頂醫院,circular,1,41,Macau Peninsula,False,False
6B,媽閣 ↻ 山頂醫院,circular,1,23,Macau Peninsula,False,False
7,東方明珠 ⇌ 城市日前地,2-way,2,33,Macau Peninsula,False,False
8,工業園街 ⇌ 回力,2-way,2,43,Macau Peninsula,False,False
8A,工業園街 ↻ 亞馬喇前地,circular,1,34,Macau Peninsula,False,False
9,牧場街 ↻ 媽閣,circular,1,35,Macau Peninsula,False,False
9A,牧場街 ↻ 旅遊塔,circular,1,29,Macau Peninsula,False,False
10,關閘 ⇌ 媽閣,2-way,2,39,Macau Peninsula,False,False
10A,外港碼頭 ⇌ 媽閣,2-way,2,32,Macau Peninsula,False,False
10B,馬場大馬路 ↻ 殷皇子馬路,circular,1,29,Macau Peninsula,False,False
10X,青洲坊 ↻ 亞馬喇前地,circular,1,25,Macau Peninsula,False,False
11,媽閣 ↻ 氹仔官也街,circular,1,42,Macau Peninsula + Taipa & Cotai,True,False
12,永寧廣場 ↻ 外港碼頭,circular,1,36,Macau Peninsula,False,False
15,海洋花園 ↻ 九澳村,circular,1,66,Coloane + Taipa & Cotai,False,True
16,牧場街 ↻ 下環街市,circular,1,27,Macau Peninsula,False,False
16S,牧場街 ↻ 媽閣,circular,1,28,Macau Peninsula,False,False
17,白鴿巢 ↻ 宋玉生廣場,circular,1,32,Macau Peninsula,False,False
17S,新口岸/科英布拉街 ⇌ 關閘,2-way,2,22,Macau Peninsula,False,False
18,牧場街 ⇌ 媽閣,2-way,2,45,Macau Peninsula,False,False
18A,東方明珠 ↻ 新馬路,circular,1,25,Macau Peninsula,False,False
18B,永定街 ⇌ 媽閣,2-way,2,35,Macau Peninsula,False,False
19,永寧廣場 ↻ 新馬路,circular,1,25,Macau Peninsula,False,False
21A,媽閣 ⇌ 九澳油庫,2-way,2,78,Coloane + Macau Peninsula + Taipa & Cotai,True,True
22,祐漢 ↻ 柯維納馬路,circular,1,39,Macau Peninsula + Taipa & Cotai,True,False
23,青洲 ↻ 旅遊塔,circular,1,40,Macau Peninsula,False,False
25,關閘 ↻ 路環市區,circular,1,50,Coloane + Macau Peninsula + Taipa & Cotai,True,True
25AX,關閘 ⇌ 蝴蝶谷大馬路,2-way,2,17,Coloane + Macau Peninsula + Taipa & Cotai,True,True
25B,關閘 ⇌ 橫琴澳方口岸,2-way,2,54,Macau Peninsula + Taipa & Cotai,True,False
25BS,橫琴澳方口岸 ↻ 望德聖母灣,circular,1,12,Taipa & Cotai,False,False
26,筷子基北灣 ↻ 路環街市,circular,1,76,Coloane + Macau Peninsula + Taipa & Cotai,True,True
26A,筷子基北灣 ⇌ 黑沙海灘,2-way,2,76,Coloane + Macau Peninsula + Taipa & Cotai,True,True
