year,quarter,ridership,departures,period
2020,Q1,4810000.0,350000.0,2020Q1
2020,Q2,0.0,0.0,2020Q2
2020,Q3,540000.0,48000.0,2020Q3
2020,Q4,1900000.0,121000.0,2020Q4
2021,Q1,2050000.0,122000.0,2021Q1
2021,Q2,2240000.0,134000.0,2021Q2
2021,Q3,1712000.0,124000.0,2021Q3
2021,Q4,1383000.0,101000.0,2021Q4
2022,Q1,1410000.0,121000.0,2022Q1
2022,Q2,1226000.0,103000.0,2022Q2
2022,Q3,666000.0,48000.0,2022Q3
2022,Q4,1199000.0,104000.0,2022Q4
2023,Q1,5753000.0,364000.0,2023Q1
2023,Q2,8345081.0,549921.0,2023Q2
2023,Q3,10589366.0,649918.0,2023Q3
2023,Q4,11276267.0,661153.0,2023Q4
2024,Q1,12818323.0,706894.0,2024Q1
2024,Q2,12188921.0,752243.0,2024Q2
2024,Q3,14096905.0,787757.0,2024Q3
2024,Q4,13875625.0,826842.0,2024Q4
2025,Q1,14663282.0,755314.0,2025Q1
2025,Q2,14194667.0,747430.0,2025Q2
2025,Q3,15305425.0,743610.0,2025Q3
2025,Q4,15344449.0,742443.0,2025Q4
2026,Q1,16453272.0,757497.0,2026Q1
