stop_code,zone,weekdays,weekends,holidays,code,nameCht,n_routes,lat,lng
C650_1,Coloane,189.54920634920634,184.53910533910533,155.71428571428572,C650_1,石排灣馬路/擎天匯,2,22.131395,113.560418
C651_1,Coloane,189.54920634920634,184.53910533910533,155.71428571428572,C651_1,路環小型賽車場,2,22.131476,113.56114
C652_1,Coloane,480.8985897143792,430.87570867920306,416.8352831999391,C652_1,安順大廈,8,22.128262,113.558738
C653_1,Coloane,101.77777777777779,101.77777777777779,93.5064935064935,C653_1,金峰南岸/金譽峰,1,22.128164,113.558597
C653_2,Coloane,479.1038566696462,430.09808466387415,415.179439044095,C653_2,金峰南岸/金譽峰,8,22.128221,113.558618
C654_1,Coloane,131.40873015873018,72.67532467532467,72.67532467532467,C654_1,聯生圓形地總站,1,22.125589,113.554964
C654_2,Coloane,238.5000555000555,238.5000555000555,238.33426222899908,C654_2,聯生圓形地總站,5,22.1257,113.554917
C654_3,Coloane,174.96888053467,155.26036682615631,140.50751447743357,C654_3,聯生圓形地總站,2,22.125851,113.554931
C655_1,Coloane,415.1247801905697,394.53804634154073,380.4976208622768,C655_1,石排灣郊野公園,7,22.125432,113.555331
C656_1,Coloane,413.4689360347255,393.7604223262118,378.84177670643265,C656_1,路環警察訓練營-2,7,22.120534,113.553447
C657_1,Coloane,415.1247801905697,394.53804634154073,380.4976208622768,C657_1,路環警察訓練營-1,7,22.120511,113.5535
C658_1,Coloane,40.19480519480519,40.19480519480519,48.30029619503304,C658_1,九澳七苦聖母小堂,1,22.131825,113.588658
C659_1,Coloane,167.35719835719837,167.35719835719837,167.1914050861419,C659_1,路環街市,3,22.117795,113.552048
C660_1,Coloane,169.01304251304254,168.1348223725273,168.84724924198608,C660_1,路環居民大會堂,3,22.117981,113.552503
C661_1,Coloane,167.35719835719837,167.35719835719837,167.1914050861419,C661_1,路環監獄-2,3,22.117951,113.555241
C662_1,Coloane,169.01304251304254,168.1348223725273,168.84724924198608,C662_1,路環監獄-1,3,22.118015,113.555206
C663_1,Coloane,167.35719835719837,167.35719835719837,167.1914050861419,C663_1,竹灣泳池-2,3,22.114574,113.55796
